platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,shroud,shroud,37402112,795160,32225,19554,2440,10066,3443719,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-300x300.png,CA,en,partner,Male
twitch,lirik,LIRIK,23161357,791028,32827,20681,2295,532,1824822,Grounded,https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png,US,en,partner,Male
twitch,halo,Halo,26019478,763391,66238,30435,1505,9136,2040203,Halo Infinite,https://static-cdn.jtvnw.net/jtv_user_pictures/493836c1-9c9e-4792-9960-6887cfb1e385-profile_image-300x300.png,,en,partner,Organization
twitch,tarik,tarik,36340781,755489,27218,17335,2615,10821,2189169,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png,US,en,partner,Male
twitch,tumblurr,Tumblurr,77827128,737415,33746,14412,3070,5982,2331502,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/8cabb91c-1fea-41f3-ac28-2938e918ead4-profile_image-300x300.jpeg,IT,it,partner,Male
twitch,summit1g,summit1g,26490481,726603,18480,12128,3595,-1180,1842202,New World,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
twitch,bonjwa,Bonjwa,73437396,723756,21150,7700,5640,1092,2029520,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/a4bec7db-47b2-44f7-bb79-6de32e7bbca4-profile_image-300x300.png,DE,de,partner,Male
twitch,elraenn,Elraenn,165080419,712083,32724,20641,2070,14242,2723783,Fall Guys: Ultimate Knockout,https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-300x300.png,TR,tr,partner,Male
twitch,gamerbrother,GamerBrother,125036509,699701,54962,20888,2010,30851,,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/975b34c9-3805-46c4-b011-1d64c71edabe-profile_image-300x300.png,DE,de,partner,Male
twitch,casimito,casimito,254489093,691774,52559,23855,1740,9153,1629364,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-300x300.png,BR,pt,partner,Male
twitch,esfandtv,EsfandTV,38746172,664687,22400,7148,5580,2882,1779669,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/476ee93d-66a6-4e57-b3a9-db1ceb168ad8-profile_image-300x300.png,US,en,partner,Male
twitch,moistcr1tikal,moistcr1tikal,132230344,663012,25788,14493,2745,17504,616659,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/df6f775d-8794-4cbe-aa85-dbdc72975696-profile_image-300x300.png,US,en,partner,Male
